smooth_h,smooth_b,dist_max_h,dist_max_l,trades,pf,wr,equity,max_dd
3,4,75,175,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,75,225,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,75,275,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,125,75,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,125,125,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,125,175,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,125,225,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,125,275,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,175,75,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,175,125,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,175,175,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,175,225,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,175,275,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,225,75,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,225,125,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,225,175,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,225,225,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,225,275,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,275,75,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,275,125,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,275,175,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,275,225,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
3,4,275,275,2572,1.120842189225738,0.47472783825816484,4835.635293014626,2155.6398764193455
2,4,75,75,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,75,125,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,75,175,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,75,225,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,75,275,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,125,75,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,125,125,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,125,175,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,125,225,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,125,275,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,175,75,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,175,125,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,175,175,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,175,225,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,175,275,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,225,75,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,225,125,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,225,175,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,225,225,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,225,275,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,275,75,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,275,125,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,275,175,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,275,225,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
2,4,275,275,2772,1.1148685561166995,0.4668109668109668,4895.697625709601,2811.5444568086223
3,5,75,75,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,75,125,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,75,175,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,75,225,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,75,275,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,125,75,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,125,125,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,125,175,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,125,225,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,125,275,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,175,75,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,175,125,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,175,175,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,175,225,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
3,5,175,275,2444,1.1034197791508475,0.46685761047463176,3976.0168742100277,2220.2030206596355
