trade_id,side,signal_bar_ts,entry_bar_ts,entry_day_of_week,entry_hour_utc,entry_price,initial_stop,exit_bar_ts,exit_day_of_week,exit_hour_utc,exit_price,exit_reason,pnl_points,risk_points,rr_multiple,bars_in_trade
10,long,2026-02-13T13:00:00Z,2026-02-13T13:05:00Z,Friday,13,24713.25,24686.25,2026-02-13T13:05:00Z,Friday,13,24686.25,stop,-27.0,27.0,-1.0,1
11,short,2026-02-13T17:15:00Z,2026-02-13T17:20:00Z,Friday,17,24920.0,24956.0,2026-02-13T17:20:00Z,Friday,17,24956.0,stop,-36.0,36.0,-1.0,1
12,short,2026-02-13T17:25:00Z,2026-02-13T17:30:00Z,Friday,17,24950.5,24965.75,2026-02-13T17:30:00Z,Friday,17,24965.75,stop,-15.25,15.25,-1.0,1
13,short,2026-02-16T00:40:00Z,2026-02-16T00:45:00Z,Monday,0,24833.5,24846.0,2026-02-16T00:50:00Z,Monday,0,24846.0,stop,-12.5,12.5,-1.0,2
14,short,2026-02-17T19:25:00Z,2026-02-17T19:30:00Z,Tuesday,19,24836.0,24863.75,2026-02-17T19:30:00Z,Tuesday,19,24863.75,stop,-27.75,27.75,-1.0,1
15,short,2026-02-18T02:50:00Z,2026-02-18T02:55:00Z,Wednesday,2,24760.0,24765.75,2026-02-18T03:00:00Z,Wednesday,3,24765.75,stop,-5.75,5.75,-1.0,2
16,short,2026-02-18T09:15:00Z,2026-02-18T09:20:00Z,Wednesday,9,24910.0,24923.75,2026-02-18T09:25:00Z,Wednesday,9,24923.75,stop,-13.75,13.75,-1.0,2
17,short,2026-02-18T13:35:00Z,2026-02-18T13:40:00Z,Wednesday,13,24872.5,24895.25,2026-02-18T14:40:00Z,Wednesday,14,24850.25,opposite_signal,22.25,22.75,0.978021978021978,13
18,short,2026-02-18T16:45:00Z,2026-02-18T16:50:00Z,Wednesday,16,25088.5,25110.75,2026-02-18T17:05:00Z,Wednesday,17,25110.75,stop,-22.25,22.25,-1.0,4
19,long,2026-02-20T02:55:00Z,2026-02-20T03:00:00Z,Friday,3,24896.5,24893.75,2026-02-20T03:05:00Z,Friday,3,24893.75,stop,-2.75,2.75,-1.0,2
20,long,2026-02-20T20:35:00Z,2026-02-20T20:40:00Z,Friday,20,25043.75,25023.0,2026-02-22T23:20:00Z,Sunday,23,25023.0,stop,-20.75,20.75,-1.0,19
21,long,2026-02-24T11:40:00Z,2026-02-24T11:45:00Z,Tuesday,11,24819.0,24809.0,2026-02-24T12:40:00Z,Tuesday,12,24809.0,stop,-10.0,10.0,-1.0,12
22,short,2026-02-24T16:15:00Z,2026-02-24T16:20:00Z,Tuesday,16,25019.25,25041.0,2026-02-24T17:05:00Z,Tuesday,17,25041.0,stop,-21.75,21.75,-1.0,10
23,short,2026-02-24T18:05:00Z,2026-02-24T18:10:00Z,Tuesday,18,25052.25,25072.5,2026-02-24T19:20:00Z,Tuesday,19,25001.25,opposite_signal,51.0,20.25,2.5185185185185186,15
24,long,2026-02-24T20:40:00Z,2026-02-24T20:45:00Z,Tuesday,20,25030.5,25004.0,2026-02-24T21:05:00Z,Tuesday,21,25004.0,stop,-26.5,26.5,-1.0,5
25,short,2026-02-25T00:30:00Z,2026-02-25T00:35:00Z,Wednesday,0,25030.0,25033.5,2026-02-25T00:35:00Z,Wednesday,0,25033.5,stop,-3.5,3.5,-1.0,1
26,short,2026-02-25T01:20:00Z,2026-02-25T01:25:00Z,Wednesday,1,25074.5,25099.25,2026-02-25T01:40:00Z,Wednesday,1,25099.25,stop,-24.75,24.75,-1.0,4
27,short,2026-02-25T02:40:00Z,2026-02-25T02:45:00Z,Wednesday,2,25097.0,25105.5,2026-02-25T02:50:00Z,Wednesday,2,25105.5,stop,-8.5,8.5,-1.0,2
28,short,2026-02-25T12:30:00Z,2026-02-25T12:35:00Z,Wednesday,12,25138.75,25142.25,2026-02-25T12:35:00Z,Wednesday,12,25142.25,stop,-3.5,3.5,-1.0,1
29,short,2026-02-25T14:00:00Z,2026-02-25T14:05:00Z,Wednesday,14,25151.0,25164.75,2026-02-25T14:05:00Z,Wednesday,14,25164.75,stop,-13.75,13.75,-1.0,1
30,short,2026-02-25T19:20:00Z,2026-02-25T19:25:00Z,Wednesday,19,25370.25,25377.0,2026-02-25T19:30:00Z,Wednesday,19,25377.0,stop,-6.75,6.75,-1.0,2
31,long,2026-02-27T17:25:00Z,2026-02-27T17:30:00Z,Friday,17,24953.0,24934.25,2026-02-27T17:30:00Z,Friday,17,24934.25,stop,-18.75,18.75,-1.0,1
32,short,2026-02-27T21:05:00Z,2026-02-27T21:10:00Z,Friday,21,24967.25,24985.75,2026-03-02T13:05:00Z,Monday,13,24642.25,opposite_signal,325.0,18.5,17.56756756756757,178
33,short,2026-03-02T17:25:00Z,2026-03-02T17:30:00Z,Monday,17,25044.75,25069.75,2026-03-02T17:50:00Z,Monday,17,25069.75,stop,-25.0,25.0,-1.0,5
34,short,2026-03-02T19:55:00Z,2026-03-02T20:00:00Z,Monday,20,25082.75,25094.0,2026-03-03T01:05:00Z,Tuesday,1,24935.0,opposite_signal,147.75,11.25,13.133333333333333,50
35,long,2026-03-03T17:45:00Z,2026-03-03T17:50:00Z,Tuesday,17,24688.25,24664.25,2026-03-03T17:50:00Z,Tuesday,17,24664.25,stop,-24.0,24.0,-1.0,1
36,long,2026-03-03T21:00:00Z,2026-03-03T21:10:00Z,Tuesday,21,24738.0,24742.75,2026-03-03T21:10:00Z,Tuesday,21,24742.75,stop,4.75,4.75,1.0,1
37,long,2026-03-04T03:25:00Z,2026-03-04T03:30:00Z,Wednesday,3,24568.5,24559.75,2026-03-04T03:30:00Z,Wednesday,3,24559.75,stop,-8.75,8.75,-1.0,1
