original_filename,normalized_filename,canonical_name,extension,file_hash_sha256,family,subfamily,role,priority,status,variant_of,duplicate_of,inferred_from_name,manually_reviewed,source_batch,notes
EL_Triangle_STOP_Long.txt,EL_Triangle_STOP_Long.txt,EL_Triangle_STOP_Long,txt,6fb2efbd82c4ddc5ddf9d468be42bfddc13f7ae14288e7815ff519402a27cd21,mgf-stop-lab,triangle-family,stop,p3_low,classified,,,yes,no,initial_raw_material,
EL_Triangle_STOP_Short.txt,EL_Triangle_STOP_Short.txt,EL_Triangle_STOP_Short,txt,3ea039388137cd47bba240b3b0e696e3cfb1293f726761ea461e744641162913,mgf-stop-lab,triangle-family,stop,p3_low,classified,,,yes,no,initial_raw_material,
EL_Triangle_Short.txt,EL_Triangle_Short.txt,EL_Triangle_Short,txt,44a4d9e5c4b051b4ed5cb03ab33e8791d384b96c1bd12c4798154f9a504b0a47,mgf-breakout-lab,geometric,signal,p3_low,classified,,,yes,no,initial_raw_material,
EL_Wedge_Falling.txt,EL_Wedge_Falling.txt,EL_Wedge_Falling,txt,2959ebe36469322260422a9407b6f68917fddcfd9a551a508d60a8ea1d7b84d4,mgf-breakout-lab,geometric,signal,p3_low,classified,,,yes,no,initial_raw_material,
EL_Wedge_Rising.txt,EL_Wedge_Rising.txt,EL_Wedge_Rising,txt,00601b23368ff2bd3a5d284dbbfb21c7672311cc0cd8d8a5108ccb7cb15ee210,mgf-breakout-lab,geometric,signal,p3_low,classified,,,yes,no,initial_raw_material,
E_XLB_filter.txt,E_XLB_filter.txt,E_XLB_filter,txt,12a607ad577a7e52fe5af4eba47c1e83bb34e7739187f5fbaa39e9c9b96d78f3,mgf-breakout-lab,line-break,filter,p2_medium,classified,,,yes,no,initial_raw_material,
E_XLB_indicator (1).txt,E_XLB_indicator.txt,E_XLB_indicator,txt,f7f4269154bd7e70ab08738b724350d5160dfa38e9cf50d8091d7f6b602c5597,mgf-breakout-lab,line-break,indicator,p3_low,classified,,,yes,no,initial_raw_material,
E_XLB_indicator.txt,E_XLB_indicator.txt,E_XLB_indicator,txt,f7f4269154bd7e70ab08738b724350d5160dfa38e9cf50d8091d7f6b602c5597,99-unclassified,duplicates,indicator,p3_low,duplicate,,E_XLB_indicator,yes,no,initial_raw_material,
E_XLB_signal (1).txt,E_XLB_signal.txt,E_XLB_signal,txt,a4a50504d8adebe337ed4951448492637f252e9926ad17bd4f3d3c2ee818f81c,mgf-breakout-lab,line-break,signal,p3_low,classified,,,yes,no,initial_raw_material,
E_XLB_signal.txt,E_XLB_signal.txt,E_XLB_signal,txt,a4a50504d8adebe337ed4951448492637f252e9926ad17bd4f3d3c2ee818f81c,99-unclassified,duplicates,signal,p3_low,duplicate,,E_XLB_signal,yes,no,initial_raw_material,
